mrts,clause_id,title,page_start,page_end,text
MRTS10,1,Introduction,5,6,"This Technical Specification applies to the construction of road pavements using plant-mixed lightly
bound pavement layers. The intent of this Technical Specification is to produce a lightly bound
granular material with an unconfined compressive strength (UCS) of 1.0 to 2.0 MPa. This Technical
Specification is applicable to lightly bound bases, subbases and improved layers.
This Technical Specification shall be read in conjunction with MRTS01 Introduction to Technical
Specifications, MRTS50 Specific Quality System Requirements and other Technical Specifications as
appropriate.
This Technical Specification forms part of the Transport and Main Roads Specifications Manual.
General
Lightly bound pavement materials are specified with an upper UCS limit of 2.0 MPa to manage the
risk of cracking and a lower limit of 1.0 MPa to ensure sufficient strength is developed in the
material to meet the load capacity intended through the pavement design.
To achieve compliance with the requirements of this Technical Specification and deliver these
materials at the standard required to meet their design intent, a higher level of control over material
constituents and batching may be required compared to what would normally be adopted for
traditional unbound and stabilised pavement materials.
To achieve the requirements of this Technical Specification, collaboration is required between
Contractors and Suppliers.
Lightly Bound Base
Lightly bound base layers have previously been known as “cement modified base” or “CMB” in
Queensland. The term ‘lightly bound base’ has been chosen to align with Austroads terminology.
Lightly bound base layers are typically covered with either a thin asphalt or sprayed bituminous
treatment, with the lightly bound pavement material forming the main structural pavement layer.
These pavements would typically be specified in moderately trafficked pavement applications or
where moisture control is required during construction or throughout the service life of the
pavement.
Lightly Bound Subbase
Lightly bound subbase would typically be specified where additional moisture control is required in
the subbase course.
Improved Layer
Lightly bound improved layers have previously been known as “working platform” layers in
Queensland. The term ‘lightly bound improved layer’ has been chosen to align with Austroads
terminology.
In this application the requirements of this Technical Specification are intended to provide adequate
support conditions beneath a pavement during its design life. These requirements may not be
sufficient for construction traffic or construction activities themselves, and the Contractor may need
to adopt a higher standard to satisfy these requirements.
Where a pavement design includes an unbound granular improved layer, this Technical
Specification is not relevant and reference should be made to MRTS05 Unbound Pavements."
MRTS10,2,Definition of terms,6,7,"The terms used in this Technical Specification shall be as defined in Clause 2 of MRTS01 Introduction
to Technical Specifications. Further definitions are as defined in Table 2.
Table 2 – Definition of terms
Term Definition
Actual content of The content of stabilising agent in the production mix
stabilising agent
Allowable working time The time within which compaction and trimming of each lightly bound
pavement layer shall be completed, measured from the commencement
of the incorporation of the stabilising agent (i.e. mixing of the stabilising
agent into the material) to completion of compaction and trimming.
The following activities are not required to be completed in the allowable
working time:
• hard-cut of the surface prior to placing another lightly bound
pavement layer
• static rolling to prepare the surface for sealing, and
• proof rolling.
At the completion of the allowable working time, the layer must comply
with the specified requirements for surface level (excluding
hard-cutting), deviation from a straight edge and surface evenness. That
is, rolling (static or vibratory) or other construction processes are not
permitted after the allowable working time to correct poor geometrics.
APHA American Public Health Association
Cement Slurry A semi-liquid mixture of stabilising agent (either a blended cement or a
cementitious blend) and water.
Control Charts A graph used to show how a material property changes over time. Test
results are plotted chronologically.
Course A layer or multiple layers of a particular pavement material as reflected
in the pavement design. For example, surfacing course, base course,
sub-base course or improved layer.
Intelligent Construction A roller that incorporates equipment to measure the stiffness of
(IC) Roller compacted layers while simultaneously tracking the position and
number of passes using a global positioning system (GPS). Stiffness,
position and coverage results are displayed in real time to the plant
operator and the data can be exported to provide a complete record of
compaction and undertake further analysis with Veta.
Layer A thickness of material placed in a single continuous pass. A single or
multiple layers may make up a course.
Lightly Bound Base A course principally intended to directly support the traffic loads,
constructed from a mixture of unbound granular pavement materials,
cementitious stabilising agent and water.
Term Definition
Lightly Bound Improved A layer which provides:
Layer
• access for construction
• a platform on which to construct the overlying pavement layers,
and
• protection to the underlying materials
Constructed from a mixture of unbound granular pavement materials,
cementitious stabilising agent and water.
Lightly Bound Subbase A lightly bound course constructed beneath a base course, from a
mixture of unbound granular pavement materials, cementitious
stabilising agent and water.
Mixture The plant-mixed lightly bound pavement material after incorporation and
mixing of the stabilising agent.
Mixing Plant Variability The Mixing Plant Variability (MPV) is an estimate of the likely variability
in stabilising agent content during production from the actual mixing
plant to be used in the Works.
The MPV shall be expressed as a percentage, by dry mass, of unbound
pavement material.
Quarry A site from which construction materials are won by blasting, ripping or
other excavation means for use in their natural state or after processing
such as by crushing, screening or combining with other materials. The
term quarry also includes pits and natural deposits such as sand
sources.
When used in relation to Transport and Main Roads quarry registration
system, a quarry may also include a material recycler.
Target Content (of The content of stabilising agent nominated by the Contractor based on
stabilising agent) the 'acceptable range for target content of stabilising agent' shown on
the Stabilised Mix Design Certificate.
UCS The 7 day UCS corresponding to a 28 day UCS of 1.0 MPa.
7-lower
UCS The 7 day UCS corresponding to a 28 day UCS of 2.0 MPa.
7-upper
Veta A map-based software tool for Contractors and Administrators to
standardise, display, analyse and report data collected by intelligent
compaction (IC) and paver‐mounted thermal profiling (PMTP)
technologies during construction. Veta can import data from various IC
machines and PMTP to perform editing, filtering, spot test correlation,
and statistical analysis as a post-processing tool.
Work Shift The time period during which work is undertaken. Work would typically
be undertaken as either day or night shift with each being a separate
work shift."
MRTS10,3,Referenced documents,8,8,"The requirements of the referenced documents listed in Table 3 below apply to this Technical
Specification. Where there are inconsistencies between this Technical Specification and the
referenced documents, the requirements specified in this Technical Specification shall take
precedence.
Table 3 – Referenced documents
Reference Title
AS 1141.3.1 Methods for sampling and testing aggregates, Sampling – Aggregates
AS 1289.1.4.2 Methods of testing soils for engineering purposes, Sampling and
preparation of soils – Selection of sampling or test sites – Stratified
random number method
AS 1289.2.1.1 Methods of testing soils for engineering purposes Soil moisture content
tests – Determination of the moisture content of a soil – Oven drying
method (standard method)
AS 1289.2.1.4 Methods of testing soils for engineering purposes Soil moisture content
tests – Determination of the moisture content of a soil – Microwave-oven
drying method (subsidiary method)
AS 1289.2.1.6 Methods of testing soils for engineering purposes Soil moisture content
tests – Determination of the moisture content of a soil – Hotplate drying
method
AS 1289.2.3.1 Methods of testing soils for engineering purposes – Soil moisture
content tests – Establishment of correlation – Subsidiary method and
the standard method
AS 1289.4.2.1 Methods of testing soils for engineering purposes Soil chemical tests –
Determination of the sulfate content of a natural soil and the sulfate
content of the groundwater – Normal method
AS 1478.1 Chemical admixtures for concrete, mortar and grout – Admixtures for
concrete
AS 3582.2 Supplementary cementitious materials – Slag – Ground granulated
blast-furnace
AS 3972 General purpose and blended cements
AS/NZS 3582.1 Supplementary cementitious materials – Flyash
MRTS01 Introduction to Technical Specifications
MRTS05 Unbound Pavements
MRTS23 Supply and Delivery of Quicklime and Hydrated Lime for Road
Stabilisation
MRTS50 Specific Quality System Requirements
MRTS56 Construction Surveying
TN204 Mix Design Registration of plant-mixed cementitiously stabilised
pavement material
- Pavement Design Supplement, Transport and Main Roads"
MRTS10,4,Standard test methods,9,9,"The standard test methods specified in Table 4 will be used in this Technical Specification.
Further details of test numbers and test descriptions are specified in Clause 4 of MRTS01 Introduction
to Technical Specifications.
Table 4 – Standard test methods
Property to be Tested Test Method No.
Addition of stabilising agents Q135A
Ball penetration AG:PT/T251
Calculation of characteristic value of a lot Q020
Conductivity (water) APHA 2510-B
Curing of moulded specimens Q135B
Deviation from a three metre straight edge Q712
Moisture content AS 1289.2.1.1,
AS 1289.2.1.4,
AS 1289.2.1.6
Moisture content test - Establishment of correlation for AS 1289.2.3.1
subsidiary methods (AS 1289.2.1.4 or AS 1289.2.1.6)
Particle Size Distribution (Segregation) Q103A
pH (water) APHA 4500-H B
Proof Rolling Test Q723
Relative compaction Q140A
Road Roughness (Surface Evenness) Q708B, Q708C, Q708D
Sampling – aggregates AS 1141.3.1
Selection of sampling or test sites AS 1289.1.4.2
Spot Sampling of soils, crushed rock and aggregates Q061
Stabilising Agent Content – Heat of Neutralisation Q134
Sulfate content AS 1289.4.2.1, other published or
validated classical chemistry
technique or instrumentation
technique#
Unconfined compressive strength (UCS) Q115
Working time of stabilised materials Q136A
Note
# Instrumentation techniques may include Ion Chromatography / Inductively Coupled Plasma / Discrete
Analyser and so on. NATA endorsed test results are evidence of a validated technique."
MRTS10,4.1,"Supplementary requirements for Test Method AS 1289.2.1.1, AS 1289.2.1.4 and",9,10,"AS 1289.2.1.6
Moisture Content determinations during production shall be undertaken in accordance with Test
Method AS 1289.2.1.1, AS 1289.2.1.4 or AS 1289.2.1.6. If one of the subsidiary methods
(AS 1289.2.1.4 or AS 1289.2.1.6) are used, a correlation using AS 1289.2.3.1 must be applied.
Testing to determine the moisture content of the material at the point of production shall be started as
soon as possible after the commencement of incorporation of stabilising agent into the unbound
pavement material. The maximum time between incorporation of stabilising agent into the unbound
pavement material and the commencement of weighting samples as required by these test methods
shall be 30 minutes."
MRTS10,4.2,Supplementary requirements for Test Method Q115,10,10,"The sample from which production UCS specimens are taken shall also be tested for stabilising agent
content and moisture content and the results reported together. These results shall be traceable to
one another.
With the exception of testing for mix design purposes (as specified in TN204 Mix Design Registration
of plant-mixed cementitiously stabilised pavement material) UCS testing shall be carried out at the
sampled moisture content with the specimen compacted to 100% of (standard) maximum dry
density (MDD).
To achieve compaction of UCS specimens to 100% MDD, the Contractor will need to determine the
mass of material to add to the mould and compact the material using the standard compaction
rammer (2.7 kg) in layers until the material fills the mould.
Where the material is not produced at Optimum Moisture Content (OMC), the Contractor may need
to apply more blows with the standard rammer (that is more than 25 blows per layer) to achieve the
required density (100% MDD).
To calculate the mass of material to be added to the mould the Contractor will need to determine
the moisture content at which the material has been produced at – this may not be OMC."
MRTS10,5.1,"Hold Points, Witness Points and Milestones",10,10,"General requirements for Hold Points, Witness Points and Milestones are specified in Clause 5.2 of
MRTS01 Introduction to Technical Specifications.
The Hold Points, Witness Points and Milestones applicable to this Technical Specification are
summarised in Table 5.1.
Table 5.1 – Hold Points, Witness Points and Milestones
Clause Hold Point Witness Point Milestone"
MRTS10,5.2.1,Submit Construction,10,10,"Procedure for lightly
bound pavement
construction (14 days)"
MRTS10,5.2,Construction procedures,11,11,"The Contractor shall prepare documented procedures for all construction processes as defined in
Clause 6 of MRTS50 Specific Quality System Requirements.
No lightly bound pavement works shall commence until all relevant construction procedures have
been accepted by the Administrator Hold Point 1"
MRTS10,5.2.1,Lightly bound pavement construction procedure,11,12,"For lightly bound pavement materials, the Contactor shall prepare a Construction Procedure, which
details at least the following:
a) details of all plant associated with the works
b) procedures to demonstrate the accuracy of the mixing plant (including calibration procedures
for load cells where applicable)
c) details for all aspects of the pavement works, including:
i. location of and management processes for stockpiles
ii. location of the mixing plant, and logistics for the operation of the plant in that location
iii. the lengths and widths of each paving run
iv. the location and type of joints required between each paving run
v. procedures for the transport, placement, compaction and trimming of the pavement
material
vi. the proposed rolling pattern and number of passes needed to achieve the specified
compaction standard for each layer thickness and support condition (to be validated
during the placement trial)
vii. procedures and equipment to prepare joints (refer Clause 8.2.10) prior to placing an
adjacent layer of lightly bound material
viii. procedures and equipment to hard-cut the surface (refer Clause 8.2.8.2) prior to placing
an overlying layer of lightly bound material
ix. slurrying procedures, including details of how the slurry will be mixed and spread evenly
and safely to the cut-back joint edges and the hard-cut surfaces
x. details for working up to or against structures, kerbs, road safety barriers, access
chambers, drainage gullies and other fixed infrastructure within or adjacent to the
pavement, including how the material will be placed and compacted to meet the minimum
requirements of this Technical Specification
xi. procedure and equipment proposed for proof rolling pavement layers
xii. curing procedures, and
xiii. procedure and equipment to prepare the surface prior to sealing (refer Clause 8.2.8.1)
d) proposed upper and lower moisture content limits for lightly bound pavement construction
(refer Clause 8.2.5)
e) proposed methodology for verifying the accuracy of the system used to dispense stabilising
agent in the mixing plant (refer Clause 9.4.7)
f) process to provide traceability of unbound pavement materials from stockpiles through to
material incorporated into the final pavement.
Where more than one type of plant-mixed lightly bound material is to be incorporated into the works,
the Contractor may prepare a single procedure provided that any differences in construction process
are clearly noted.
The Lightly Bound Pavement Construction Procedure shall be submitted to the Administrator at least"
