mrts,clause_id,title,page_start,page_end,text
MRTS07B,10,Supplementary requirements .................................................................................................... 35,4,4,Appendix A: Maximum lot sizes and minimum testing frequencies .............................................. 36
MRTS07B,1,Introduction,5,5,"This Technical Specification applies to the stabilisation of insitu materials by the addition of a
cementitious stabilising agent.
This Technical Specification shall be read in conjunction with MRTS01 Introduction to Technical
Specifications, MRTS50 Specific Quality System Requirements and other Technical Specifications as
appropriate.
This Technical Specification forms part of the Transport and Main Roads Specifications Manual."
MRTS07B,2,Definition of terms,5,5,"The terms used in this Technical Specification shall be as defined in Clause 2 of MRTS01 Introduction
to Technical Specifications. Additional terms used in this Technical Specification shall be as defined in
Table 2. Where indicated in Table 2, a more complete definition is contained in the referenced clause.
Table 2 – Definition of terms
Term Definition
Actual stabilised layer Achieved stabilised layer thickness as measured from the bottom of
thickness stabilised layer to the top of compacted and trimmed stabilised layer.
Allowable working time The time measured from the commencement of incorporation (i.e.
mixing) of stabilising agent into the material to completion of compaction
and trimming.
Bituminous coat A sprayed bituminous surfacing with cover aggregate.
Bulking Increase in vertical height during the incorporation of the stabilising
agent into material using a stabiliser. The increased vertical height of the
material is measured from the surface level prior to this incorporation
process - refer Figure 8.6.10.
Curing materials Materials applied to the exposed surfaces of the completed stabilised
layer for curing.
Design Depth As specified in the construction drawings and contract documents –
refer Figure 8.6.10.
Finish surface level Top level of the stabilised layer as specified in the drawings and contract
documents – refer to Figure 8.6.10.
Hydrated Lime Hydrated lime is a granular form of lime consisting primarily of calcium
hydroxide (Ca(OH)₂).
Lower reference level Lower reference level is the finish surface level minus the design depth.
It is the bottom level of the stabilised layer as specified in the drawings
and contract documents - refer to Figure 8.6.10.
Moisture ratio The ratio of the insitu moisture content compared to the laboratory
(uncompacted) (MRᵤ) optimum moisture content expressed as a percentage for uncompacted
materials.
Stabiliser A single-rotor mix-in-place plant of a type (i.e. plant that mixes insitu)
specifically designed for the dual task of reclamation and stabilisation
work.
Stabilising agent A cement, blended cement, cementitious blend or lime / fly ash blend.
Target depth Target depth is the mixing depth required by the stabiliser to achieve the
lower reference level and shall consider the bulking height – refer
Figure 8.6.10."
MRTS07B,3,Referenced documents,6,6,"Table 3 lists documents referenced in this Technical Specification.
Table 3 – Referenced documents
Reference Title
AS/NZS 3582.1 Supplementary cementitious materials - fly ash
AS 3582.2 Supplementary cementitious materials - slag
AS 3972 General purpose and blended cements
AS 4489.6.1 Test methods for limes and limestones - Lime index - Available lime
MRTS01 Introduction to Technical Specifications
MRTS05 Unbound Pavements
MRTS07A Insitu Stabilised Subgrades using Quicklime or Hydrated Lime
MRTS23 Supply and Delivery of Quicklime and Hydrated Lime for Road
Stabilisation
MRTS50 Specific Quality System Requirements
MRTS56 Construction Surveying
NGTM Nuclear Gauge Testing Manual"
MRTS07B,4,Standard test methods,6,7,"The standard test methods listed in Table 4 shall be used in this Technical Specification.
Further details of test method numbers and test descriptions are given in Clause 4 of
MRTS01 Introduction to Technical Specifications.
Table 4 – Standard test methods
Property to be Tested Method No.
Available lime index AS 4489.6.1
Ball penetration AG:PT/T251
Calculation of characteristic value of a lot Q020
California Bearing Ratio Q113A
Crushed particles AS 1141.18
Curing moulded specimens of stabilised material Q135B
Degradation factor Q208B
Deviation from a straightedge Q712
Fines ratio Q103A
Flakiness index Q201
Foreign Material (Type 2 materials containing recycled Q477
material)
Moisture Density Relationship (MDR) Q142A, Q143, Q144A
Linear shrinkage Q106
Liquid limit Q104A
Property to be Tested Method No.
Moisture content AS 1289.2.1.1,
AS 1289.2.1.4,
AS 1289.2.1.6
Particle size distribution Q103A
Petrographic assessment of aggregates Q188
pH (Type 2 materials containing recycled concrete) AS 1289.4.3.1
Proof rolling test Q723
Relative compaction Q140A, Q141A, Q141B
Moisture ratio of uncompacted soils and crushed rock Q250
Road roughness (surface evenness) Q708B, Q708C, Q708D
Sampling – aggregates AS 1141.3.1
Selection of sampling or test sites AS 1289.1.4.2
Spot sampling of soils, crushed rock and aggregates Q061
Stabilising agent content Q134A
Sulfate content AS 1289.4.2.1,
other published or validated
classical chemistry technique or
instrumentation technique#
Surface spread rate of stabilising agent Q719^
UCS (Type 2 materials containing recycled concrete) Q115
UCS (unconfined compressive strength of stabilised materials) Q115
Water absorption AS 1141.6.1
Wet strength AS 1141.22
Wet / dry strength variation AS 1141.22
Working time of stabilised material Q136A
# Instrumentation techniques may include Ion Chromatography / Inductively Coupled Plasma / Discrete Analyser
and so on. National Association of Testing Authorities (NATA) endorsed test results are evidence of a validated
technique.
^ For Q719, the requirement for the test to be carried out by a registered NATA and Construction Materials
Testing (CMT) Supplier in accordance with MRTS50 Specific Quality System Requirements, shall be relaxed."
MRTS07B,5.1,"Hold Points, Witness Points and Milestones",7,8,"General requirements for Hold Points, Witness Points and Milestones are specified in Clause 5.2 of
MRTS01 Introduction to Technical Specifications.
The Hold Points, Witness Points and Milestones applicable to this Technical Specification are
summarised in Table 5.1.
Table 5.1 – Hold Points, Witness Points and Milestones
Clause Hold Point Witness Point Milestone"
MRTS07B,5.2.2,1. Approval of Supply of the,8,8,"construction construction procedures
procedures and and construction program
construction program for the stabilisation works
(21 days)"
MRTS07B,7.1,2. Compliance of all,8,8,"materials, prior to their
incorporation"
MRTS07B,8.3,"4. Survey of services,",8,8,"utilities buildings and
drainage"
MRTS07B,8.4,5. Contractor’s,8,8,"determination of the
allowable working time"
