mrts,clause_id,title,page_start,page_end,text
MRTS07C,10,Supplementary requirements .................................................................................................... 42,4,4,Appendix A: Maximum lot sizes and minimum testing frequencies .............................................. 43
MRTS07C,1,Introduction,5,5,"This Technical Specification applies to the stabilisation of materials insitu by the addition of bitumen,
as a foam, and a secondary stabilising agent.
This Technical Specification shall be read in conjunction with MRTS01 Introduction to Technical
Specifications, MRTS50 Specific Quality System Requirements and other Technical Specifications as
appropriate.
This Technical Specification forms part of the Transport and Main Roads Specifications Manual."
MRTS07C,2,Definition of terms,5,6,"The terms used in this Technical Specification shall be as defined in Clause 2 of MRTS01 Introduction
to Technical Specifications. Additional terms used in this Technical Specification shall be as defined in
Table 2. Where indicated in Table 2 of this Technical Specification, a more complete definition is
contained in the referenced clause.
Table 2 – Definition of terms
Term Definition
Actual stabilised layer Achieved stabilised layer thickness as measured from the bottom of
thickness stabilised layer to the top of compacted and trimmed stabilised
layer.
Allowable working time The time measured from the commencement of incorporation (i.e.
mixing) of the secondary stabilising agent into the material to
completion of compaction and trimming.
Available lime index The available calcium oxide for quicklime or available calcium
hydroxide for hydrated lime in accordance with AS 4489.6.1.
Binder Stabilising agents – see definitions below.
Bulking Increase in vertical height during incorporating stabilising agents
into material using a stabiliser. The increased vertical height of the
material is measured from the surface level prior to this
incorporation process – refer Figure 8.6.11.
Curing materials Materials applied to the exposed surfaces of the completed
stabilised layer for curing.
Design depth As specified in the construction drawings and contract documents –
refer Figure 8.6.11.
Expansion Ratio A term used to define the expansion properties of the bitumen. It is
defined as the ratio of the maximum volume of the bitumen in its
foamed state to the volume of bitumen once the foaming has
completely subsided.
Finish surface level Top level of the stabilised layer as specified in the drawings and
contract documents – refer to Figure 8.6.11.
Foamed bitumen Class 170 bitumen which is (temporarily) brought into a foamed
state by the addition of water and foaming agent(s).
Foaming agent A chemical additive added to bitumen to improve its foaming
characteristics.
Term Definition
Half-life A term used to define the expansion properties of the bitumen. It is
defined as the time taken for the foamed bitumen to settle to
one half of the maximum volume of the bitumen in its foamed state.
It is measured from the start of bitumen foaming.
Height of collimation Height of collimation is the elevation of the optical axis of the
telescope at the time of the setup. The line of collimation is the
imaginary line at the elevation.
Hydrated lime Hydrated lime is a granular form of lime consisting primarily of
calcium hydroxide (Ca(OH)₂).
Lower reference level Lower reference level is the finish surface level minus the design
depth. It is the bottom of the stabilised layer as indicated in the
drawings and contract documents – refer Figure 8.6.11.
Moisture ratio The ratio of the insitu moisture content compared to the laboratory
(uncompacted) (MRᵤ) optimum moisture content expressed as a percentage for
uncompacted materials.
Primary stabilising agent See ‘foamed bitumen’.
Principal Contractor The person or entity who is bound to execute the work under the
Contract.
Quicklime Quicklime is a granular form of lime consisting primarily of calcium
oxide (CaO). Quicklime hydrates rapidly in the presence of water.
Secondary stabilising agent Hydrated lime, slaked quicklime, or hydrated lime / fly ash blend
included in the stabilisation process to improve the dispersion of the
foamed bitumen and increase the early strength of the stabilised
material.
Slaking The addition of water to quicklime (the purpose is to fully hydrate
the quicklime).
Spot check Inspecting quicklime after slaking process, to identify that all
quicklime is completely slaked.
Stabiliser A single-rotor mix-in-place plant of a type (i.e. plant that mixes
insitu) specifically designed for the dual task of reclamation and
stabilisation work.
Stabilising agents Primary and secondary stabilising agents – see definitions above.
Stabilising Subcontractor Contractor or supplier (including their personnel), engaged by or on
behalf of the Principal Contractor with respect to the insitu foamed
bitumen stabilising works under the Contract.
Target depth Target depth is the mixing depth required by the stabiliser to
achieve the lower reference level and shall consider the bulking
height – refer Figure 8.6.11."
MRTS07C,3,Referenced documents,6,7,"Table 3 lists documents referenced in this Technical Specification.
Table 3 – Referenced documents
Reference Title
AP–G41/15 Austroads’ Bituminous Materials Safety Guide
AS 4489.6.1 Test methods for limes and limestones – Lime index – Available lime
Reference Title
AS/NZS 3582.1 Supplementary cementitious materials – fly ash
MRTS01 Introduction to Technical Specifications
MRTS05 Unbound Pavements
MRTS07A Insitu Stabilised Subgrades using Quicklime and Hydrated Lime
MRTS17 Bitumen and Multigrade Bitumen
MRTS23 Supply and Delivery of Quicklime and Hydrated Lime for Road
Stabilisation
MRTS50 Specific Quality System Requirements
MRTS56 Construction Surveying
NGTM Nuclear Gauge Testing Manual"
MRTS07C,4,Standard test methods,7,8,"The standard test methods listed in Table 4 shall be used in this Technical Specification subject to the
additional requirements given in this Technical Specification (for example, Clause 9).
Further details of test method numbers and test descriptions are given in Clause 4 of
MRTS01 Introduction to Technical Specifications.
Table 4 – Standard test methods
Property to be tested Test Method No.
Available lime index AS 4489.6.1
Calculation of characteristic value of a lot Q020
California Bearing Ratio Q113A
Crushed particles AS 1141.18
Curing moulded specimens of foamed bitumen stabilised material Q135C
Degradation factor Q208B
Deviation from a straightedge Q712
Fines ratio Q103A
Flakiness index Q201
Foreign Material (Type 2 materials containing recycled material) Q477
Q142A, Q143,
Moisture Density Relationship (MDR)
Q144A
Linear shrinkage Q106
Liquid limit Q104A
Moisture content AS 1289.2.1.1,
AS 1289.2.1.4,
AS 1289.2.1.6
Particle size distribution Q103A
Petrographic assessment of aggregates Q188
pH (Type 2 materials containing recycled concrete) AS 1289.4.3.1
Preparation and compaction of field mix foamed bitumen stabilised material Q138B
Property to be tested Test Method No.
Preparation and compaction of laboratory mixed foamed bitumen stabilised Q138A
material
Proof rolling test Q723
Relative compaction Q140A, Q141A,
Q141B
Moisture ratio of uncompacted soils and crushed rock Q250
Resilient modulus of foamed bitumen stabilised material Q139
Road roughness (surface evenness) Q708B, Q708C,
Q708D
Sampling – aggregates AS 1141.3.1
Selection of sampling or test sites AS 1289.1.4.2
Spot sampling of soils, crushed rock and aggregates Q061
Sulfate content AS 1289.4.2.1,
other published or
validated classical
chemistry
technique or
instrumentation
technique#
Surface spread rate of stabilising agent Q719^
UCS (Type 2 materials containing recycled concrete) Q115
Water absorption AS 1141.6.1
Wet strength AS 1141.22
Wet / dry strength variation AS 1141.22
Working time of foamed bitumen stabilised materials Q136B
# Instrumentation techniques may include Ion Chromatography / Inductively Coupled Plasma / Discrete Analyser
and so on. National Association of Testing Authorities (NATA) endorsed test results are evidence of a validated
technique.
^ For Q719, the requirement for the test to be carried out by a registered NATA and Construction Materials
Testing (CMT) Supplier in accordance with MRTS50 Specific Quality System Requirements, shall be relaxed."
MRTS07C,5.1,"Hold Points, Witness Points and Milestones",8,9,"General requirements for Hold Points, Witness Points and Milestones are specified in Clause 5.2 of
MRTS01 Introduction to Technical Specifications.
The Hold Points, Witness Points and Milestones applicable to this Technical Specification are
summarised in Table 5.1.
Table 5.1 – Hold Points, Witness Points and Milestones
Clause Hold Point Witness Point Milestone"
MRTS07C,5.2.2,1. Approval of construction Supply of the,9,9,"procedures and construction procedures
construction program and construction program
for the stabilisation works
(42 days)"
MRTS07C,7.1,2. Compliance of all,9,9,"materials prior to their
incorporation"
MRTS07C,8.3,"4. Survey of services,",9,9,"utilities, buildings and
drainage"
MRTS07C,8.5.2.1,5. Approval of compaction,9,9,"based on a process
requirement"
