mrts,clause_id,title,page_start,page_end,text
MRTS11,1,Introduction,5,5,"This Technical Specification applies to the application of sprayed bituminous treatments but excludes
the use of bituminous emulsions. It covers the treatment types listed in Table 1.
Table 1 – Treatment types
Treatment Type Treatment Label
Initial Treatments
Prime P
Initial Single / Single Seal I-S/S
Initial Double / Double Seal I-D/D
Secondary Treatments and Retreatments
Single / Single Seal S/S
Double / Double Seal D/D
High Stress Single / Single Seal for medium traffic loadings HSS1-M
High Stress Single / Single Seal for heavy traffic loadings HSS1-H
High Stress Double / Double Seal for medium traffic loadings HSS2-M
High Stress Double / Double Seal for heavy traffic loadings HSS2-H
Extreme Stress Double / Double Seal XSS
Strain Alleviating Membrane for slow moving cracks SAM-S
Strain Alleviating Membrane for rapid moving cracks SAM-R
Strain Alleviating Membrane Interlayer SAMI
Waterproofing Seal under asphalt1 WP-A
Geotextile Reinforced Seal with a Single / Single Seal GRS-S/S
Geotextile Reinforced Seal with a Double / Double Seal GRS-D/D
Surface Enrichment SE
Scatter Coat SC
Note:"
MRTS11,1,The WP-A treatment type is typically used to waterproof the underlying asphalt pavement when an open,5,5,"graded, dense graded or stone mastic asphalt surfacing is used. It may also be used to waterproof
pavements that contain a lightly bound base. For unbound pavements with an asphalt surfacing, a
S/S treatment is typically used to waterproof the pavement prior to placement of the asphalt surfacing.
This Technical Specification shall be read in conjunction with MRTS01 Introduction to Technical
Specifications, MRTS50 Specific Quality System Requirements and other Technical Specifications as
appropriate.
This Technical Specification forms part of the Transport and Main Roads Specifications Manual."
MRTS11,2,Definition of terms,6,8,"The terms defined in MRTS01 Introduction to Technical Specifications apply to this Technical
Specification. Additional terminology relevant to this Technical Specification is defined in Table 2
below.
Table 2 – Definition of terms
Term Definition
AfPA Australian Flexible Pavement Association
Actual Spray Rate The spray rate of bituminous material actually achieved during the
surfacing operation
Actual Spread Rate The spread rate of cover aggregate or prime cover material actually
achieved during the surfacing operation
Additive Cutter oil, flux oil and/or adhesion agent
Adjusted Designed Spray The spray rate of bituminous binder as adjusted by the Seal
Rate Designer’s Delegate in accordance with Clause 6
Adjusted Designed The aggregate spread rate as adjusted by the Seal Designer’s
Spread Rate Delegate in accordance with Clause 6
Binder Bitumen, cutback bitumen and/or polymer modified binder
Bituminous material Bitumen, cutback bitumen, bitumen with cutter oil and/or flux oil and/or
adhesion agent, and polymer modified binder (which includes crumb
rubber modified binder)
Cover aggregate Aggregate complying with the requirements of MRTS22 Supply of
Cover Aggregate, and which forms a permanent wearing surface on a
pavement
Coverage Tracking (CT) A rubber-tyred roller that incorporates equipment to track the position
roller and number of passes using a global positioning system (GPS).
Position and coverage results are displayed in real time to the plant
operator and the data can be exported to provide a complete record of
compaction and undertake further analysis with Veta.
Cutting back bitumen The temporary reduction of binder viscosity by the addition of cutter oil
Crumb Rubber Modified Bitumen blended with crumb rubber. The bitumen is generally C170
Binder and the crumb rubber is generally obtained from the shredding and
grinding of scrap rubber from vehicle tyres.
Designed Spray Rate The spray rate of bituminous binder as calculated by the Seal
Designer in accordance with Clause 6
Designed Spread Rate The aggregate spread rate as calculated by the Seal Designer in
accordance with Clause 6
Double / double seal 2 applications of binder, each followed by an application of aggregate
Estimated Spray Rate The estimated spray rate of bituminous binder stated in Clause 2 of
Annexure MRTS11.1. It is not to be used as an actual designed spray
rate.
Estimated Spread Rate The estimated spread rate for cover aggregate or prime cover material
stated in Clause 2 of Annexure MRTS11.1. It is not to be used as an
actual designed spread rate.
Term Definition
Geotextile reinforced seal An application of a bituminous binder into which both aggregate and
(GRS) geotextile are incorporated to provide a durable wearing surface.
A layer of binder is applied first, followed by a layer of geotextile fabric,
then a single / single or double / double seal is applied.
Homogeneous section A continuous section of carriageway in one direction where:
• the Adjusted Designed Spray Rate, when designed in
accordance with the design procedure stated in Clause 6.1.1,
does not vary by more than 0.1 L/m² in the longitudinal
section, and
• the underlying surface type does not change within the
longitudinal section.
For the purpose of testing for determining seal design inputs, the
maximum size of each homogeneous section is one lot.
Initial seal An application of a sprayed seal to a prepared base course, which has
not been primed. It is intended to adhere to the base, whilst providing
a temporary wearing course for traffic and consists of either a
single / single seal, a single / single seal with a scatter coat or a
double / double seal. Cutback bitumen binders (AMC4, AMC5, AMC6
or AMC7) or emulsion bitumen binders are typically used for initial
seals.
Initial treatment An application of a prime (prime coat) or initial seal to a prepared base
course
Lot A spray run or series of spray runs applied on any calendar day
NTRO National Transport Research Organisation
Parts of additive The number of parts by volume of additive to be added to 100 parts by
volume of binder measured at 15ºC
Pavement temperature The temperature measured at the surface of the pavement to be
sprayed
Prime An application of a primer to a prepared base, with or without cover
aggregate, to provide penetration of the surface and to obtain a bond
between the pavement and the subsequent seal or asphalt. It is a
preliminary treatment to a more permanent bituminous treatment.
Reseal A seal applied to an existing seal or asphalt surface
Retreatment An application of a sprayed bituminous treatment on an existing
bituminous surfacing
Roller Pass One pass of both axles of a roller over a specific point in one direction
Scatter coat A light application of small size aggregate to temporarily ‘lock in’ a
larger size aggregate seal to reduce aggregate movement during
rolling and initial trafficking
Seal A thin layer of sprayed bituminous material into which aggregate is
incorporated
Term Definition
Seal Designer A competent, trained designer who shall complete the seal design and
shall determine the Designed Spray Rate and the Designed Spread
Rate. The Seal Designer shall have successfully attained either:
• an Australian Flexible Pavement Association (AfPA) Statement of
Successful Completion of Written Assignment (or equivalent) for the
AfPA course titled Sprayed Sealing Selection and Design
• a National Transport Research Organisation (NTRO) Statement of
Successful Completion of Written Assignment (or equivalent) for the
NTRO course titled Selection and Design of Sprayed Seals, Unit 3
Seal Designer’s Delegate A competent, trained nominee of the seal designer who may modify,
on behalf of the Seal Designer, the Designed Spray Rate and/or the
Designed Spread Rate as follows:
• determine the Adjusted Designed Spray Rate
• determine the Adjusted Designed Spread Rate, and
• determine the parts of cutter oil to add prior to spraying.
The Seal Designer’s Delegate shall have successfully attained either:
• an Australian Flexible Pavement Association (AfPA) Certificate of
Attendance (or equivalent) for the AfPA course titled Sprayed
Sealing Selection and Design
• a National Transport Research Organisation (NTRO) Certificate of
Attendance (or equivalent) for the NTRO course titled Selection and
Design of Sprayed Seals, Unit 3
Secondary treatment An application of a sprayed bituminous treatment on an initial
treatment
Single / single seal One layer of binder covered with a single layer of aggregate
Spray run The area of pavement selected for coverage with a bituminous
material during one continuous operation of a sprayer
Spray sheet Contractor's Bituminous Material Spraying Record Sheet
Sprayed bituminous An initial treatment, surface enrichment, secondary treatment or
treatment retreatment
Strain Alleviating A sprayed bituminous treatment with a polymer modified binder which
Membrane (SAM) is used to delay the onset of reflection cracking on existing cracked
surfaces or where the potential for cracking exists
Strain Alleviating A sprayed bituminous treatment with a polymer modified binder which
Membrane Interlayer is used as an interlayer between asphalt and the underlying pavement.
(SAMI) A SAMI is used to delay the onset of reflection cracking on existing
cracked surfaces or where the potential for cracking exists.
Veta A map-based software tool for Contractors and Administrators to
standardise, display, analyse and report data collected by intelligent
compaction (IC) and paver mounted thermal profiling (PMTP)
technologies during construction. Veta can import data from various IC
machines and PMTP to per‐form editing, filtering, spot test correlation,
and statistical analysis as a post-processing tool."
MRTS11,3,Referenced documents,8,9,"The requirements of the referenced documents listed in Table 3 below apply to this Technical
Specification. Where there are inconsistencies between this Technical Specification and the
referenced documents, the requirements specified in this Technical Specification shall take
precedence.
Table 3 – Referenced documents
Reference Title
Advisory Note 7 Guide to the Heating and Storing of Binders for Sprayed Sealing and
Asphalt Manufacture, AfPA
AGPT04K-18 Guide to Pavement Technology Part 4K: Selection and Design of Sprayed
Seals, Austroads
AP-G41-15 Bituminous Materials Safety Guide, Austroads
AP-T344-19 Relationships Between Cutter Oil Properties and Sprayed Seal
Performance, Austroads
AS 2008 Bitumen for Pavements
ATS-3110 Supply of Polymer Modified Binders, Austroads
MRTS02 Provision for Traffic
MRTS17 Bitumen and Multigrade Bitumen
MRTS18 Polymer Modified Binder (including Crumb Rubber)
MRTS50 Specific Quality System Requirements
MRTS57 Geotextiles for Geotextile Reinforced Seals
PWT14-10 Sprayed Seal Cutting Practice, Austroads / AfPA
PWT24-00 Sprayed Sealing – Rolling of Cover Aggregate, Austroads / AfPA
PWT27-13 Sprayed Sealing – Cutting Back of Polymer Modified Binders,
Austroads / AfPA
PWT33-14 Sprayed Sealing – Selection of Spraying Nozzles, Austroads / AfPA
TN175 Selection and Design of Sprayed Bituminous Treatments, Transport and
Main Roads
TN186 Sealing in Cold Weather Conditions, Transport and Main Roads
- Registered Product List for Binder Adhesion Agents, Transport and Main
Roads"
MRTS11,4,Standard test methods,9,10,"The standard test methods given in Table 4 shall be used in this Technical Specification.
Further details of test numbers and test descriptions are given in Clause 4 of MRTS01 Introduction to
Table 4 – Standard test methods
Property to be Tested Method No.
Average Least Dimension AS 1141.20.3
Ball Penetration AG:PT/T251
Binder Stripping Value – Modified Plate Q212B
Degree of Aggregate Precoating Q216
Field spread rate of cover aggregate Q711A
Flakiness Index AS 1141.15
Loose aggregate on sprayed seals Q720
Particle Size Distribution AS 1141.11.1
Sampling of bitumen AS 2008 or Q080
Sampling of bituminous binders and crumb rubber ATM 101 or Q080
Texture Depth ATM 250 or Q715"
MRTS11,5.1,"Hold Points, Witness Points and Milestones",10,10,"General requirements for Hold Points, Witness Points and Milestones are specified in Clause 5.2 of
MRTS01 Introduction to Technical Specifications.
The Hold Points, Witness Points and Milestones applicable to this Technical Specification are
summarised in Table 5.1.
Table 5.1 – Hold Points, Witness Points and Milestones
Clause Hold Point Witness Point Milestone"
MRTS11,5.2,1. Permission to use Construction procedures,10,10,"construction submitted to the
procedures Administrator"
MRTS11,6.2,2. Contractor notified of Contractor provides,10,10,"Principal’s seal design Administrator with Ball
Penetration test results"
MRTS11,6.3.2,3. Consideration of the Contractor seal design,10,10,"Contractor’s seal report submitted to the
design Administrator"
MRTS11,8.3.1,2. Binder storage,10,10,"temperature measured
and recorded at
delivery to site"
