mrts,revision,page,table_id,caption,value_text
MRTS30,March 2024,7,,,"Guidance1 on the selection of binder grade for use in dense graded asphalt is provided in the table |  |  |  |  |  |  |  |  |  |  | 
--- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | ---
below. |  |  |  |  |  |  |  |  |  |  | 
Application |  |  |  | Traffic Volume |  |  |  |  | Typical Binders |  | 
 |  |  |  | (Average Daily ESAs in the Design |  |  |  |  |  |  | 
 |  |  |  | Lane in the Year of Opening) |  |  |  |  |  |  | 
 |  |  |  | Free Flowing |  |  | High Shear2 |  |  |  | 
Surfacing layer |  |  |  | < 1000 |  |  | < 300 |  |  | C320 | 
 |  |  |  | < 3000 |  |  | < 1000 |  |  | M10003 | 
 |  |  |  | All |  |  | All |  |  | A15E4 | 
Layer below surfacing |  |  |  | < 3000 |  |  | < 1000 |  |  | C320 | 
 |  |  |  | All |  |  | < 3000 |  |  | C600, M1000 | 
 |  |  |  | All |  |  | All |  |  | A15E4 | 
 | Layers covered |  |  | All |  |  | < 3000 |  |  | C320 | 
 | by at least two |  | All | All |  | All | All |  | C600, M1000, A15E4 | C600, M1000, A15E4 | 
 | layers of asphalt |  |  |  |  |  |  |  |  |  | 
 | 1 This table has been developed to assist designers in selecting binders to optimise performance outcomes |  |  |  |  |  |  |  |  |  | 
 | on projects. Mixes may be used outside these parameters and still provide acceptable long-term |  |  |  |  |  |  |  |  |  | 
 | performance. |  |  |  |  |  |  |  |  |  | 
 | 2 High shear areas include signalised intersections and approaches, roundabouts and approaches, and |  |  |  |  |  |  |  |  |  | 
 | other areas with very slow moving heavy vehicles. For bus stops, busways and bus-only lanes, specialist |  |  |  |  |  |  |  |  |  | 
 | advice should be sought from the Principal Engineer (Asphalt and Surfacings). |  |  |  |  |  |  |  |  |  | 
 | 3 M1000 typically has a shorter oxidation life than C320 and A15E binders. More frequent resurfacing |  |  |  |  |  |  |  |  |  | 
 | should be anticipated where M1000 binder is used in surfacing layers. |  |  |  |  |  |  |  |  |  | 
 | 4 A15E binder is typically used in situations where enhanced deformation and/or fatigue resistance is |  |  |  |  |  |  |  |  |  | 
 | desired. |  |  |  |  |  |  |  |  |  |"
MRTS30,March 2024,7,,,"|  | 
--- | --- | ---
 | For projects that utilise this Technical Specification, the following personnel should have completed | 
 | and have a certificate of attainment for the Australian flexible Pavements Association (AfPA) course | 
 | “ASA407A Administration of Specifications - MRTS30 Asphalt Pavements”: | 
 | • Contractor’s and Prequalified Asphalt Contractor’s (PAC) Project Manager(s), Engineer(s) | 
 | and Site Supervisor(s) for the asphalt works | 
 | • Administrator, and Inspector. | 
 | The Administrator should implement an audit and surveillance plan. Typically, a minimum of 10% of | 
 | asphalt lots should be audited on the department’s projects. An increased or reduced frequency | 
 | may apply based on the PAC’s historical performance and the project’s risk profile. | 
 |  |"
MRTS30,March 2024,8,Table 2,Definition of terms,"|  | 
--- | --- | ---
 | This Technical Specification is based on the principles outlined in Austroads Guide to Pavement | 
 | Technology Part 4B: Asphalt. The Austroads Guide should be used by PACs and Administrators, in | 
 | conjunction with the material from the above mentioned AfPA course and Austroads Pavement | 
 | Work Tips, as the first point of reference. | 
 | Administrators can seek further advice on interpretation of this Technical Specification from the | 
 | Principal Engineer (Asphalt and Surfacings). | 
 |  |"
MRTS30,March 2024,8,Table 3,lists the documents referenced in this Technical Specification.,"Term | Definition
--- | ---
Asphalt mix design registrar | Person(s) nominated by the Deputy Chief Engineer (Pavements, Materials and Geotechnical) to register asphalt mix designs for use on Department of Transport and Main Roads projects.
Prequalified asphalt contractor (PAC) | An entity prequalified, in accordance with the requirements of the Transport Infrastructure Project Delivery System Manual, to supply (i.e., manufacturing and/or paving only) asphalt to Department of Transport and Main Roads projects. The prequalification category applicable to a project is specified in the Contract.
Registered mix design | The mix design, of a particular nominal size of asphalt, which has been submitted by a manufacturer and registered by the Department of Transport and Main Roads."
MRTS30,March 2024,8,Table 3,Referenced documents,"Reference | Title
--- | ---
– | Reclaimed Asphalt Pavement (RAP) Management Plan, Australian Flexible Pavement Association
Advisory Note 7 | Guide to the selection, heating and storage of binders for sprayed sealing and hot mix asphalt"
MRTS30,March 2024,9,,,"Reference | Title
--- | ---
AG:PT/T220 | Sample preparation - Compaction of asphalt slabs suitable for characterisation
AG:PT/T234 | Asphalt binder content (ignition oven method)
AG:PT/T235 | Asphalt binder drain-off
AG:PT/T236 | Asphalt particle loss
AG:PT/T237 | Binder film index
AGPT/T193 | Design of bituminous binder blends to a specified viscosity value
AGPT04B-14 | Guide to pavement technology Part 4B: Asphalt
AP-PWT13 | Temperature characteristics of binders in asphalt
AP-PWT15 | Asphalt production process control
AP-PWT30 | Asphalt shape correction
AP-PWT51 | Asphalt tack coating
AS 1160 | Bituminous emulsions for the construction and maintenance of pavements
AS 2150 | Asphalt – A guide to good practice
ATM 192 | Characterisation of the viscosity of reclaimed asphalt pavement (RAP) binder using the dynamic shear rheometer (DSR)
ATM 231 | Deformation resistance of asphalt mixtures by the wheel tracking test
ATM 232 | Stripping potential of asphalt - Tensile strength ratio
ATM 250 | Modified surface texture depth (pestle method)
MRTS01 | Introduction to Technical Specifications
MRTS02 | Provision of Traffic
MRTS17 | Bitumen and Multigrade Bitumen
MRTS18 | Polymer Modified Binder (including Crumb Rubber)
MRTS50 | Specific Quality System Requirements
MRTS56 | Construction Surveying
MRTS84 | Deck Wearing Surface
MRTS101 | Aggregates for Asphalt
MRTS102 | Reclaimed Asphalt Pavement Material
MRTS103 | Fillers for Asphalt
NGTM | Nuclear Gauge Testing Manual, Transport and Main Roads
Pavement Design Supplement | Pavement Design Supplement: Supplement to ‘Part 2: Pavement Structural Design’ of the Austroads Guide to Pavement Technology, Transport and Main Roads
RC 900.07 | Test Method: Calibration of Nuclear Thin-Layer Density Gauge Using Standard Blocks, Department of Transport and Planning
TIPDS Manual | Transport Infrastructure Project Delivery System Manual, Transport and Main Roads
TN148 | Asphalt Mix Design Registration, Transport and Main Roads
TN183 | Use of High Percentage of Reclaimed Asphalt Pavement (RAP) Material in Dense Graded Asphalt, Transport and Main Roads"
MRTS30,March 2024,10,Table 4,Standard test methods,"Property to be Tested | Test Method No.
--- | ---
General | 
Calculation of characteristic value of a lot | AS 2891.14.15 or Q020
Selection of sampling or test sites | AS 1289.1.4.2
Aggregate | 
Particle size distribution | AS 1141.11.1
Filler | 
Methylene blue value | AS 1141.66
Voids in dry compacted filler | AS 1141.17
Asphalt | 
Air voids content of compacted asphalt | Q311, AS/NZS 2891.8, AS/NZS 2891.14.5
Asphalt binder drain-off | AG:PT/T235
Asphalt particle loss | AG:PT/T236
Binder content and aggregate grading | AS/NZS 2891.3.1, Q308A or AG:PT/T234
Binder film index | AS/NZS 2891.8, AG:PT/T237 or Q317
Compacted density / field density | AS/NZS 2891.9.2, AS/NZS 2891.9.3, Q306C, Q306E or AS/NZS 2891.14.2
Compaction of asphalt slabs | AG:PT/T220
Compaction of asphalt test specimens (using a gyratory compactor) | AS/NZS 2891.2.2
Compaction of asphalt test specimens (using a Marshall compactor) | Q305
Design of bituminous binder blends to a specified viscosity value | AGPT/T193
Deformation resistance | ATM 231
Degree of particle coating | AS/NZS 2891.11
Effective binder volume | AS/NZS 2891.8 or Q311
Equivalent compaction temperature for warm mix asphalt | Q323
Fixed binder fraction | Q321
Marshall stability, flow and stiffness | Q305
Maximum density | AS/NZS 2891.7.1
Mix volume ratio | Q318
Moisture content of bituminous mixes | AS/NZS 2891.10"
MRTS30,March 2024,11,Table 4,4.1.1 AS 1289.1.4.2,"Property to be Tested | Test Method No.
--- | ---
Proof rolling | Q723
Resilient modulus | AS/NZS 2891.13.1
Road roughness (Surface evenness) | Q708B, Q708C or Q708D
Sampling of compacted asphalt – coring | AS 2891.1.2
Sampling loose asphalt mix | AS/NZS 2891.1.1
Tensile strength and tensile strength ratio | ATM 232
Texture depth | ATM 250
Three metre straightedge | Q712
Viscosity of RAP binder | ATM 192"
MRTS30,March 2024,12,Table 5.1,"Hold Points, Witness Points and Milestones","Clause | Hold Point | Witness Point | Milestone
--- | --- | --- | ---
5.2 |  |  | Submission of Asphalt Quality Plan (7 days)
7.2.5 | 1. Recommencement of production after nonconforming Tensile Strength Ratio |  | 
7.3.3 |  |  | Submission of Asphalt Mix Design Certificate (7 days)
7.4.1 | 2. Incorporation of asphalt into the Works 3. Acceptance of a nonconforming or nonstandard mix design for incorporation into the Works |  | 
8.2.2 | 4. Approval to place asphalt over weak substrate | 1. Proof rolling of substrate | 
8.2.3 |  | 2. Mark out of cracks to be filled | 
8.2.4 |  | 3. Marking out the areas on which strain alleviating fabric strips are to be applied | 
8.6.2 | 5. Approval to place asphalt at a nonconforming layer thickness |  | 
8.7 | 6. Approval to place asphalt at a nonconforming pavement temperature |  | 
8.11 | 7. Placing of the nominated mix (after placement trial) |  |"
MRTS30,March 2024,13,Table 5.2,Asphalt quality plan (AQP) requirements,"Clause | Planning Documents
--- | ---
5.4 & 5.6 | Inspection and test plan (ITP), including methods and frequencies of sampling, methods and frequencies of testing, verification checklists, and timeframe for submission of test results
MRTS50 Clause 7 | Asphalt materials - for each constituent material, lot / stockpile size, method of defining each lot and allocating a unique lot number
7.1 | Procurement, handling and storage of each constituent material
 | Nominated particle size distribution and tolerances for each constituent aggregate
7.1.6 | Process control procedures for dense graded asphalt mixes containing > 15% RAP
7.3 | Development, certification and registration of the nominated mix design
MRTS50 Clause 7 | Asphalt production – for each nominated mix, the method of defining each lot and allocating a unique lot number
7.4 | Calibration of the asphalt manufacturing plant, including all weigh scales, flowmeters and thermometers
 | Process control, including plant operating instructions, key temperature targets and records, and responses to process control charts
 | Acquisition, storage and handling of binder, including identification and prevention of segregation and/or contamination
 | Control of plant feed proportions, including regular checks on grading and moisture content
 | Daily asphalt manufacturing plan to ensure timely and uninterrupted progress on site
7.5 | Loading, delivery and unloading procedures that maintain adequate mix temperature and do not interrupt progress of the paving train
MRTS50 Clause 7 | Asphalt placement - for each paving and related activity, the method of defining each lot (including length, width, area and location) and allocating a unique lot number"
